Name,Designation,Company
Hitesh Doshi,CEO,WESS
Pallav Jain,CEO,ShopSe
Abhishek Nimonkar,CEO,ShopSe
Yagnesh Desai,CEO,ShopSe
Amit Purohit,CEO,Fantasy Akhada
Bharat Sethi,CEO,Rage Coffee
Harsh Jain,CEO,Groww
Ishan Bansal,CEO,Groww
Lalit Keshre,CEO,Groww
Neeraj Singh,CEO,Groww
Ratan Tata,CEO,Avanti Finance
Nandan Nilekani,CEO,Avanti Finance
Naresh Vigh,CEO,Kudos
Asish Mohapatra,CEO,OfBusiness
Bhuvan Gupta,CEO,OfBusiness
Chandranshu Sinha,CEO,OfBusiness
Nitin Jain,CEO,OfBusiness
Ruchi Kalra,CEO,OfBusiness
Ruchi Kalra,CEO,OfBusiness
Srinath Ramakkrushnan,CEO,OfBusiness
Vasant Sridhar,CEO,OfBusiness
Gaurav Tripathi,CEO,Superpro.ai
Sagar Ramteke,CEO,Superpro.ai
Vijay Goel,CEO,Superpro.ai
Vivek Kumar,CEO,Superpro.ai
Ankush Sachdeva,CEO,ShareChat
Bhanu Pratap Singh,CEO,ShareChat
Farid Ahsan,CEO,ShareChat
Anuranjita Kumar,CEO,WiT-ACE
Mohit Gupta,CEO,Spinny
Niraj Singh,CEO,Spinny
Ramanshu Mahaur,CEO,Spinny
Vinod Murali,CEO,Alteria Capital
Ravi Gupta,CEO,Safexpay
Tarun Lawadia,CEO,PumPumPum
Sameer Kalra,CEO,PumPumPum
Vishesh Rajaram,CEO,Speciale Invest
Arjun Rao,CEO,Speciale Invest
Saikat Roy,CEO,Eunimart
Shayak Mazumder,CEO,Eunimart
Sanjeev Barnwal,CEO,Meesho
Vidit Aatrey,CEO,Meesho
PN Santosh,CEO,CareerLabs
Prasanna Alagesan,CEO,CareerLabs
Krithika Srinivasan,CEO,CareerLabs
Saurabh saxena,CEO,Uable
Arjun Paul,CEO,Zoko
Aromal Sivadasan,CEO,Zoko
Rahul Veerwal,CEO,GetWork
Rohit Prasad,CEO,Easebuzz
Sumit Ghosh,CEO,Chingari
Apoorva Mishra,CEO,DusMinute
Kulin Shah,CEO,Onsurity
Yogesh Agarwal,CEO,Onsurity
Ronak Agrawal,CEO,SkilloVilla
Rajat Agrawal,CEO,SkilloVilla
Deepak Kharol,CEO,SkilloVilla
Sonali Srungaram,CEO,Cancer Clinics
Sasi Sunkara,CEO,Cancer Clinics
Abhiroop Medhekar,CEO,Velocity
Atul Khichariya,CEO,Velocity
Saurav Swaroop,CEO,Velocity
Surabhi Talwar,CEO,Happy Jars
Vikram Sekhar,CEO,Happy Jars
Anunay Pandey,CEO,Inshorts
Azhar Iqubal,CEO,Inshorts
Deepit Purkayastha,CEO,Inshorts
Abhishek Ballabh,CEO,ExtraaEdge
Sushil Mundada,CEO,ExtraaEdge
Nausherwan Shah,CEO,Zotalabs
Wasim Khan,CEO,Zotalabs
Anand Gopal,CEO,Voiro
Kavita Shenoy,CEO,Voiro
Bhavit Sheth,CEO,Dream Sports
Harsh Jain,CEO,Dream Sports
SK Jindal,CEO,Safex Chemicals
SK Chaudhary,CEO,Safex Chemicals
Sharmin Ali,CEO,Instoried
Sutanshu Raj,CEO,Instoried
Anubhav Jain,CEO,Rupifi
Deepak Aggarwal,CEO,Moneyboxx
Angad Kikla,CEO,CityMall
Divij Goyal,CEO,CityMall
Nilay Mehrotra,CEO,Janani
Utkarsh Apoorva,CEO,ReshaMandi
Deepu Panicker,CEO,Bombay Shaving Company
Raunak Munot,CEO,Bombay Shaving Company
Rohit Jaiswal,CEO,Bombay Shaving Company
Shantanu Deshpande,CEO,Bombay Shaving Company
Anurag Gupta,CEO,DotPe
Gyanesh Sharma,CEO,DotPe
Shailaz Nag,CEO,DotPe
Shourya Agarwal,CEO,Homingos
Malhar Patil,CEO,Homingos
Rajat Gupta,CEO,Homingos
Nishank Jain,CEO,Anar Business Community
Sanjay Bhat,CEO,Anar Business Community
V K Ranganathan,CEO,Five Star Finance
Gaurav Ranebennur,CEO,Settlrs
Nishanth Janadri,CEO,Settlrs
Byju Raveendran,CEO,BYJU'S
Divya Gokulnath,CEO,BYJU'S
Gobinda Chandra Pattnaik,CEO,Annapurna Finance
Raghuraj Sunder Raju,CEO,HealthPlix
Sandeep Gudibanda,CEO,HealthPlix
Prateek Shukla,CEO,Masai School
Prabhkiran Singh,CEO,Bewakoof
Gaurav Chopra,CEO,IndiaLends
Mayank Kachhwaha,CEO,IndiaLends
Pudhucode Radhakrishnan Kannan,CEO,Stelis Biopharma
Deepak VS,CEO,Tilt
Aprit Khandelwal,CEO,NeoDove
Najeeb Bin Haneef,CEO,Zaara Biotech
Karthikeyan Krishnaswamy,CEO,KreditBee
Madhusudan Ekambaram,CEO,KreditBee
Wan Hong,CEO,KreditBee
Cheolwon Lee,CEO,True Balance
Jay Yi,CEO,True Balance
Martin Lee,CEO,True Balance
Mukund V Rao,CEO,Muvin
Manish Taneja,CEO,Purplle
