Name,Designation,Company
Amrit Singh,CEO,Loop Health
Mayank Kale,CEO,Loop Health
Jawaid Iqbal,CEO,Rupifi
Dhruv Bhushan,CEO,Rupifi
Priyank Shah,CEO,RENEE Cosmetics
Ashutosh Valani,CEO,RENEE Cosmetics
Aashka Goradia Goble,CEO,RENEE Cosmetics
Ishan,CEO,Svish
Jaideep Mahajan,CEO,Svish
Pallavi Shrivastava,CEO,Progcap
Himanshu Chandra,CEO,Progcap
Arpit Dave,CEO,Smartstaff
Aravind Reddy,CEO,Smartstaff
Gnanesh Chilukuri,CEO,Smartstaff
Viral Chhajer,CEO,Smartstaff
Nimisha,CEO,D’Moksha Homes
Manav Dhanda,CEO,D’Moksha Homes
Amit Monga,CEO,ANS Commerce
Sushant Puri,CEO,ANS Commerce
Vibhor Sahare,CEO,ANS Commerce
Nakul Singh,CEO,ANS Commerce
Amitabh Kanekar,CEO,Mobileware Technologies
Satyajit Kanekar,CEO,Mobileware Technologies
Dhyanesh Bhatt,CEO,GramCover
Byju Raveendran,CEO,BYJU'S
Divya Gokulnath,CEO,BYJU'S
Ramanathan RV,CEO,Hyperface
Aishwarya Jaishankar,CEO,Hyperface
Vivek Gupta,CEO,Licious
Abhay,CEO,Licious
Vinayak Bhavnani,CEO,Chalo
Mohit Dubey,CEO,Chalo
Maran Nagarajan,CEO,Kaar Technologies
Ravi Dasoundhi,CEO,Kissan Pro
Ashish Munjal,CEO,Sunstone Eduversity
Piyush Nangru,CEO,Sunstone Eduversity
CSN Murthy,CEO,Ozonetel
Atul Sharma,CEO,Ozonetel
Ashish Singhal,CEO,CoinSwitch Kuber
Vimal Sagar Tiwari,CEO,CoinSwitch Kuber
Govind Soni,CEO,CoinSwitch Kuber
Sanchit Malik,CEO,Pazcare
Manish Mishra,CEO,Pazcare
Siddharth Janghu,CEO,kWh Bikes
Anupriya,CEO,kWh Bikes
Kartik Gupta,CEO,kWh Bikes
C M Grover,CEO,IBSFINtech
TM Manjunath,CEO,IBSFINtech
Nilesh Patel,CEO,LeadSquared
Ankit Agarwal,CEO,Phool.co
Jahangir Mohammed,CEO,Twin Health
Nimesh Kampani,CEO,Trica
Rajesh Munjal,CEO,mHealth
Monika Garg,CEO,mHealth
Balwinder Singh,CEO,mHealth
Jaydeep Barman,CEO,Rebel Foods
Kallol Banerjee,CEO,Rebel Foods
Vivek Bhargava,CEO,ProfitWheel
Aman Khanna,CEO,ProfitWheel
Gautam Mehra,CEO,ProfitWheel
Akshay Singhal,CEO,Log 9 Materials
Sumit Ghosh,CEO,Chingari
Jitesh Dadlani,CEO,Ishitva
Bhavish Aggarwal,CEO,Ola Electric
Ragini Das,CEO,leap.club
Anand Sinha,CEO,leap.club
Raghav Arora,CEO,F5
Lalit Aggarwal,CEO,F6
Nikhil Jain,CEO,ForeignAdmits
Ashwini Jain,CEO,ForeignAdmits
Ankit Parasher,CEO,SALT
Udita Pal,CEO,SALT
Rajesh P Nair,CEO,EarnWealth
Shashvat Tripathi,CEO,Visit Health
Chetan Anand,CEO,Visit Health
Vaibhav Singh,CEO,Visit Health
Anurag Prasad,CEO,Visit Health
Vignesh Prasad,CEO,Crater.Club
Vivan Puri,CEO,Crater.Club
